no,name,year,description,developer,genre,ratings,harga,toko_1,alamat_1,toko_2,alamat_2,toko_3,alamat_3
69,Tom Clancy's Rainbow Six Siege,2015,Tom Clancy's Rainbow Six Siege is a 2015 online tactical shooter video game developed by Ubisoft Montreal and published by Ubisoft. The game puts heavy emphasis on environmental destruction and cooperation between players.,Ubisoft Montreal,"Shooter, Tactical",3.9,229000,,,,,,
70,Minecraft: PlayStation 4 Edition,2011,"Minecraft is a sandbox independent video game originally created by Swedish programmer Markus ""Notch"" Persson and later developed and published by the Swedish company Mojang. The creative and building aspects of Minecraft allow players to build constructions out of textured cubes in a 3D procedurally generated world. Other activities in the game include exploration, gathering resources, crafting, and combat. Multiple gameplay modes are available, including survival modes where the player must acquire resources to build the world and maintain health, a creative mode where players have unlimited resources to build with and the ability to fly, and an adventure mode where players play custom maps created by other players. The alpha version was publicly released for PC on May 17, 2009, and after gradual updates, the full version was released on November 18, 2011. A version for Android was released a month earlier on October 7, and an iOS version was released on November 17, 2011.","4J Studios, Mojang","Open world, Action game, Sandbox",4.8,279000,,,,,,
71,Rayman Legends,2013,"Originally thought as an exclusive title, Rayman Legends used the Wii U Gamepad for some functionalities. After going multiplatform, the Wii U and PlayStation Vita versions of Rayman Legends gave the ability to control Murphy in certain stages through touch controls. This interaction was removed from the other versions.",Ubisoft Montpellier,"Platform, Adventure",4.7,205000,,,,,,
72,Wolfenstein: the New Order,2014,"Wolfenstein: The New Order is an action-adventure shooter game played from a first-person perspective. It is the semi-sequel to 2009's Wolfenstein, however utilizes very little from the game and drops any direct references to veil or supernatural. To progress through the story, the player battle enemies throughout levels. The game utilizes a health system in which players' health is divided into separate sections that regenerate; if an entire section is lost, the player must use a health pack to replenish the missing health. In combat, a cover system can be used as assistance against enemies. The player have the ability to lean around, over, and under cover, which can be used as a tactical advantage during shootouts and stealth levels. The game gives the player a wide variety of weapon options—they can be found on the ground, retrieved from dead enemies, or removed from their stationary position and carried around.",MachineGames,"Shooter, Adventure",4.5,266000,,,,,,
73,Tiny Tina's Wonderlands,2022,"Embark on an epic adventure full of whimsy, wonder, and high-powered weaponry! Bullets, magic, and broadswords collide across this chaotic fantasy world brought to life by the unpredictable Tiny Tina.",Gearbox Software,"Shooter, Role-playing (RPG), Adventure",3.7,659000,,,,,,
74,No More Heroes III,2021,"The latest numbered entry in the No More Heroes series. Fight your way to the top of the Galactic Superhero Rankings! The legendary assassin Travis Touchdown makes his glorious return to the Madness in the No More Heroes 3 game, exclusively on the Nintendo Switch system!",Grasshopper Manufacture,Hack and slash/Beat 'em up,4.5,499000,,,,,,
75,Assassin's Creed Syndicate,2015,"London, 1868. The Industrial Revolution unleashes an incredible age of invention, transforming the lives of millions with technologies once thought impossible. Opportunities created during this period have people rushing to London to engage in this new world, a world no longer controlled by kings, emperors, politicians, or religion, but by a new common denominator: money. Not everyone is able to enjoy the benefits of this boom, however. Despite fueling the engine of the British Empire, workers’ lives are little more than legalized slavery while the top few percent profit from their labor. Living poor and dying young, the lower class unite in protest as a new kind of family, gangs, who turn to a life in the underworld in their struggle to survive. A struggle, until watchful Assassins come to their side and re-ignite an age-old conflict involving London’s leaders that will echo throughout modern history, from the underground up. Introducing Jacob Frye, who with the help of his twin sister Evie, will change the fate of millions in Assassin’s Creed Syndicate. Rise to rally and lead the underworld to break the corrupt stranglehold on London in a visceral adventure filled with action, intrigue, and brutal combat.",Ubisoft Québec,Adventure,4.3,107000,,,,,,
76,Nioh,2017,"In Nioh, players will traverse war-torn Japan as William, a blonde-haired swordsman whose background as a fierce warrior and seasoned knowledge of the blade allows him to survive in the demon-plagued land of the samurai. Known as Yokai, these demons inhabit a number of dangerous locations and lie in wait in the shadows to ambush unsuspecting victims. Players will also face off with other samurai in supernatural sword battles and intense, multi-target engagements offering a level of difficulty that will truly test even the most hardened samurai’s skills, patience, and strategy. Offering a deep and original storyline that takes place during the Warring States Period of Japanese history alongside strategic sword-fighting action, Nioh will challenge players in a way that makes every mission and accomplishment feel earned and worthwhile.",Team NINJA,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",4.1,642000,,,,,,
77,Diablo II: Resurrected,2021,"Diablo II: Resurrected breathes new life into Blizzard Entertainment’s acclaimed ARPG and its expansion, Diablo II: Lord of Destruction, from beginning to end. Return to fight for Sanctuary and discover the fate of the mysterious Dark Wanderer rebuilt in all-new 3D graphics, brand-new cinematics, remastered audio… and the same classic Diablo II gameplay you remember.",Blizzard Entertainment,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",3.1,179000,,,,,,
78,Destroy All Humans!,2020,"A remake of Destroy All Humans!, an action-adventure video game that stands as the inaugural entry in the Destroy All Humans! franchise. It unfolds in 1959 in the United States. The game satirises the lifestyles, pop culture, and political attitudes of that era. Players take on the role of Cryptosporidium 137, a member of the fictional alien race known as ""Furons."" Functioning as a Furon spy hitman, Cryptosporidium 137 invades Earth with the mission of harvesting human DNA to sustain the cloning process for his species. The remake features new missions, control schemes, upgrades, skins, abilities, and graphical enhancements.",Black Forest Games,"Shooter, Adventure",4.3,600000,,,,,,
79,Stranded Deep,2020,"Stranded Deep is a survival video game developed and published by Beam Team Games. The game was released for PlayStation 4, Xbox One, and PC on 2020. Set in the Pacific Ocean, a plane crash survivor finds themselves faced with some of the most life-threatening scenarios found in the middle of the ocean.",Beam Team Games,"Survival, Open world",3.4,109000,,,,,,
80,Chivalry 2,2021,"Chivalry 2 is a multiplayer hack and slash action game developed by Torn Banner Studios and published by Tripwire Interactive. The game was released in 2021 for for PlayStation 5, Xbox X/S, PC, PlayStation 4, and Xbox One. Sequel to Chivalry: Medieval Warfare, the game tasks players to compete in fast-paced medieval warfare against other players in order to complete their objectives to win the game.",Torn Banner Studios,"Action, Hack and slash, Multiplayer",3.5,170000,,,,,,
81,Overwatch,2016,"Join the fight for the future in the world of Overwatch and choose your hero from a diverse cast of soldiers, scientists, adventurers, and oddities. Bend time, defy physics, and unleash a dizzying array of extraordinary powers and weapons. Engage your enemies in iconic locations from around the globe in the ultimate team-based shooter.",Blizzard Entertainment,"Shooter, Strategy",3.8,589000,,,,,,
82,Scarlet Nexus,2021,"In a far distant future, a psionic hormone was discovered in the human brain, granting people extra-sensory powers and changing the world as we know it. Just as humanity was entering this new era, deranged mutants known as Others began to descend from the sky with a thirst for human brains. Highly resistant to conventional attack methods, extreme measures needed to be taken to battle the overwhelming threat and preserve humanity. Those with acute extra-sensory abilities, known as psionics, were our chance to fight the onslaught from above. To this day, psionics have been scouted for their talents and recruited to the Other Suppression Force (OSF), humanity’s last line of defense. Take on the role of Yuito Sumeragi, a new recruit to the OSF aiming to become an elite psionic like the one who saved him as a child. Armed with a talent in psycho-kinesis, explore the futuristic city of New Himuka and uncover the mysteries of a Brain Punk future caught between technology and psychic abilities in SCARLET NEXUS.",Bandai Namco Studios,"Role-playing (RPG), Adventure",4.6,1229000,,,,,,
83,Tales of Arise,2021,"On the planet Dahna, reverence has always been given to Rena--the planet in the sky--as a land of the righteous and divine. Stories handed down for generations became truth and masked reality for the people of Dahna. For 300 years, Rena has ruled over Dahna, pillaging the planet of its resources and stripping people of their dignity and freedom. Our tale begins with two people, born on different worlds, each looking to change their fate and create a new future. Featuring a diverse cast of characters, intuitive and rewarding combat system, and a captivating story set in a lush world worth fighting for, Tales of Arise delivers a first-class JRPG experience.",Bandai Namco Studios,"Role-playing (RPG), Adventure",4.7,399000,,,,,,
84,Lost Judgment,2021,"Lost Judgment is an action-adventure video game developed by Ryu Ga Gotoku Studio and published by Sega. A sequel to the 2018 game Judgment (a spin-off of the Like a Dragon series), the game focuses on private detective Takayuki Yagami as he investigates a criminal accused of both sexual harassment and murder Joined by his partner, ex-yakuza Masaharu Kaito, the crime-fighting duo is called on to investigate a seemingly perfect crime whose lead suspect has an airtight alibi. What starts as a tale of revenge reveals a tangled web of conspiracy involving several unlikely factions taking advantage of a broken law system. But as victims pile up and Yagami unravels the truth, he must choose between defending the law or exacting justice.",Ryu ga Gotoku Studios,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",4.5,609000,,,,,,
85,Deus Ex: Mankind Divided,2016,"Deus Ex: Mankind Divided directly follows the aftermath of the Aug Incident, a day when mechanically augmented citizens all over the world were stripped of control over their minds and bodies, resulting in the deaths of millions of innocents. The year is now 2029, and the golden era of augmentations is over. Mechanically augmented humans have been deemed outcasts and segregated from the rest of society. Crime and acts of terror serve as a thin veil to cover up an overarching conspiracy aimed at controlling the future of mankind…",Eidos Montréal,"Shooter, Puzzle, Role-playing (RPG), Adventure",4.4,488000,,,,,,
86,Guilty Gear Strive,2021,"Guilty Gear Strive is a fighting game developed and published by Arc System Works. The game was released in 2021 for PlayStation 5, PlayStation 4, and PC. The seventh mainline installment of the Guilty Gear series, as it continues the story after the events of Guilty Gear Xrd concluding Sol Badguy's story.",Arc System Works,Fighting,4.1,599000,,,,,,
87,Nioh 2,2020,"Master the lethal arts of the samurai as a mysterious half-human, half-supernatural Yokai warrior, in this challenging action RPG sequel. Explore violent Sengoku-era Japan and the deadly Dark Realm, both plagued with grotesque, merciless demons. Unsheathe your deadly weapons and cut down all enemies in your path using a revamped combat system and the ability to transform into a full Yokai to unleash devastating paranormal powers.",Team NINJA,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",4.3,699000,,,,,,
88,Lego Star Wars: The Skywalker Saga,2022,"Lego Star Wars: The Skywalker Saga is a third-person action-adventure with an open world hub. Unlike previous Lego games in which players had to advance through the story in a linear order, players can now choose to start the game from any of the main Skywalker Saga episodes and complete them in any order they wish. Each episode has their own hub filled with planets featured prominently in each respective film that can be visited and explored. Each episode will have five story missions each, a total of 45 levels. Combat has also been revamped, such as lightsaber fights now involving a variety of combos with light attacks, heavy attacks, and Force moves, and blaster characters having an over-the-shoulder camera angle featured in many third-person shooter games. Random encounters will also happen in the game's hub. For example, an Imperial Star Destroyer will suddenly jump out of hyperspace and send a fleet of TIE Fighters after the player. Players can choose to engage in dogfights with them or continue onward to progress the story. The game will have more than 200 playable characters, though TT Games has said that number will change.",Traveller's Tales,"Puzzle, Adventure",4.3,250000,,,,,,
89,Kena: Bridge of Spirits,2021,"Kena: Bridge of Spirits is a 2021 action-adventure video game developed and published by Ember Lab. The story follows Kena, a young spirit guide who uses her magical abilities to help deceased people move from the physical to the spirit world. The game is presented through a third-person perspective. The player uses Kena's staff for attacking enemies, and her pulse ability for defending against attacks. They are tasked with collecting small spirit companions known as the Rot, who help to complete tasks and battle against enemies.",Ember Lab,"Role-playing (RPG), Adventure, Indie",4.7,170000,,,,,,
90,Dungeons & Dragons: Dark Alliance,2021,"Set in the Forgotten Realms, the game features real-time combat and dynamic co-op gameplay, and pits the infamous Drizzt Do'Urden and his legendary companions – Catti-brie, Bruenor, and Wulfgar – against some of the most iconic monsters from the world of Dungeons & Dragons. Frost Giants, Beholders, and White Dragons roam the frozen tundra of Icewind Dale in search of the Crystal Shard— and it's up to the companions to muster the strength to stop them from claiming and using it to destroy their home.",Tuque Games,Role-playing (RPG),2.7,140000,,,,,,
91,Just Cause 3,2015,"The Mediterranean republic of Medici is suffering under the brutal control of General Di Ravello, a dictator with an insatiable appetite for power. Enter Rico Rodriguez, a man on a mission to destroy the General’s hold on power by any means necessary. With over 400 square miles of complete freedom from sky to seabed and a huge arsenal of weaponry, gadgets and vehicles, prepare to unleash chaos in the most creative and explosive ways you can imagine.",Avalanche Studios,Adventure,4.5,250000,,,,,,
92,Watch Dogs,2014,"Set in Chicago, where a central network of computers connects everyone and everything, Watch Dogs explores the impact of technology within our society. Using the city as your weapon, you will embark on a personal mission to inflict your own brand of justice. Chicago's overarching network is known as the Central Operating System (ctOS), and it controls almost all of the city's technology and information - including key data on all of the city's residents.",Ubisoft Montreal,"Shooter, Adventure",4,749000,,,,,,
93,Gran Turismo 7,2022,"Gran Turismo 7 is a racing game developed by Polyphony Digital and published by Sony Interactive Entertainment. The game was released for PlayStation 5, and PlayStation 4 in 2022. The eighth mainline installment in the Gran Turismo series, the game brings the return of the GT Simulation Mode and features the return a variety of modes such as Special Events, Championships, Driving School, Tuning Parts Shop, Used Cars dealership, and GT Auto while still retaining the new GT Sport Mode, Brand Central, and Discover.",Polyphony Digital,"Racing, Simulation",4.6,1029000,,,,,,
94,Aliens: Fireteam Elite,2021,"Set in the iconic Alien universe, Aliens: Fireteam Elite is a cooperative 3rd-person survival shooter that drops your fireteam of hardened marines into a desparate fight to contain the evolving Xenomorph threat. Create and customize your own Colonial Marine, choosing from an extensive variety of classes, weapons, gear and perks, battling overwhelming odds in this heart-pounding survival shooting experience.",Cold Iron Studios,"Shooter, Role-playing (RPG)",4,249000,,,,,,
95,Injustice: Gods Among Us Ultimate Edition,2013,"A completely separate beast from its big console counterpart, Injustice: Gods Among Us for mobile is a fighting game that can unlock features in the console versions.",Warner Bros. Studios,"Fighting, Arcade",4.5,136000,,,,,,
96,Pac-Man World Re-Pac,2022,"With polished graphics, enhanced gameplay, and updated features, Pac-Man World Re-Pac is action/platforming fun for both experienced Pac-fans and new Pac-thusiasts the world over!",NOW Production,"Platform, Adventure, Arcade",4.5,249000,,,,,,
97,Ni no Kuni II: Revenant Kingdom,2018,"The sequel to Ni no Kuni being developed for Windows and PlayStation 4. Players control Evan Pettiwhisker Tildrum, a young king who was usurped from his castle and sets out to reclaim his kingdom. While players can freely navigate Evan throughout the game's open world, other characters can be controlled during battles against enemies. During these battles, players use magical abilities and elemental creatures known as ""Higgledies"", which are used to cast spells.",LEVEL-5,"Role-playing (RPG), Adventure",4.5,680000,,,,,,
98,Life is Strange: True Colors,2021,"Life is Strange is a series of award-winning and critically-acclaimed narrative adventure games. Discover a universe where everyday heroes wield supernatural powers, while dealing with real challenges, real relationships, and real emotions. It's our world... with a twist of the strange. No matter your choices, the experience will stay with you forever. Deep in the mountains of Colorado, you'll find Haven Springs, a small mining town filled with beauty and mystery. As Alex, you'll discover the shocking secrets behind your brother’s death in an emotional roller-coaster of an adventure, using your psychic power of Empathy to change fate and change lives.",Deck Nine,Adventure,4.2,264000,,,,,,
99,Capcom Fighting Collection,2022,"Capcom Fighting Collection is a compilation of arcade versions of ten fighting games originally developed and published by Capcom. It adds new features to the original games such as online play with rollback netcode, training and spectator modes, save states, concept art, design documents, and a music player.",Capcom,"Fighting, Puzzle, Arcade",4,344000,,,,,,
100,Jurassic World Evolution 2,2021,"Jurassic World Evolution 2 is the much-anticipated sequel to Frontier’s ground-breaking 2018 management simulation, Jurassic World Evolution, offering an all new narrative campaign voiced by cast members from across the Jurassic World film franchise, exciting new features, four engaging game modes, and an expanded roster of awe-inspiring dinosaurs.",Frontier Developments,"Simulator, Strategy",4.1,449000,,,,,,
101,Nickelodeon Kart Racers 3: Slime Speedway,2022,"Rebuilt and re-imagined from the ground up, Nickelodeon Kart Racers returns - bigger and better than ever! Featuring a fully voice-acted cast of over 40 iconic characters, drift, slide, and boost your way to the finish line on tracks inspired by legendary Nickelodeon shows like SpongeBob SquarePants, Teenage Mutant Ninja Turtles, Avatar: The Last Airbender, and more!",Bamtang Games,"Racing, Sport, Arcade",3,649000,,,,,,
102,Crash Drive 3,2021,"Experience ridiculous fun in this cross-platform multiplayer, free-roaming game! Drive monster trucks, tanks and more amazing vehicles across a huge open world. Level up, play events, earn cash, unlock new cars and discover secrets.... Crash Drive is back! COMPETITIVE EVENTS Destroy a gigantic beach ball, catch robbers as a cop or steal the king's crown, these are just a few examples of the 10 fun game events this game has to offer. Participate in these random competitive events, beat your opponents to earn the most cash and buy awesome new cars or customisations. CRAZY CAR LEVELING By using nitro boosts you increase the car’s nitro capacity, by driving at top speed you increase its top speed... catch the drift? ‘Maxing’ all stats for a car increases your player level allowing you to buy new cars or customisations. Collect over 50+ vehicles and customise your car with funky antennas, boosts and unique number plates with your in-game name on it. Reach the maximum player level to prestige and show who is the real Crash Drive 3 boss! Solid golden car anyone? OPEN WORLD EXPLORATION To the moon and back! Drive around freely and explore the boundless and varied open world at your leisure. Fly a rocket to the moon, storm the king’s castle in the forest, go to the saloon in the wild west canyons or experience ice drifting fun in the arctic snow. Done with icy cold? How about a relaxing ferry trip to the tropics? Each area is unique and filled with secret areas, collectibles…",M2H,"Racing, Simulator, Sport, Indie, Arcade",4.3,265000,,,,,,
103,Destiny,2014,"Bungie has emphasized that the universe of Destiny will be ""alive"". Events may happen in-game that are not necessarily controlled or planned by the developer, which will help to create a dynamic developing experience for Bungie and a dynamic playing experience for gamers. The game's style has been described a first-person shooter that will incorporate massively multiplayer online game (MMO) elements, but Bungie has avoided defining Destiny as a traditional MMO game. Instead, the game has been referred to as a ""shared-world shooter,"" as it lacks many of the characteristics of a traditional MMO game. For instance, rather than players being able to see and interact with all other players in the game or on a particular server—as is the case in many conventional MMO games—Destiny will include on-the-fly matchmaking that will allow players to see and interact only with other players with whom they are ""matched"" by the game. Destiny will incorporate a new game engine that allows global illuminations and real-time dynamic lighting to occur together. An innovation in Bungie's ""hopper"" technology, which has been the backbone for Halo's matchmaking system, will allow better player matchmaking in order to create a more natural experience in either cooperative or competitive multiplayer modes.",Bungie,"Shooter, Role-playing (RPG)",4.3,422092,,,,,,
104,Dragon Quest X Offline,2022,"Set for release in 2022, Dragon Quest X Offline is a stand-alone singleplayer remake of the 2012 MMORPG title Dragon Quest X Online.",Square Enix Creative Business Unit II,Role-playing (RPG),5,510300,,,,,,
105,Watch Dogs: Legion,2020,"In Watch Dogs: Legion, near future London is facing its downfall... Unless you do something about it. Build a resistance, fight back, and give the city back to the people. It's time to rise up.",Ubisoft Toronto,"Shooter, Role-playing (RPG), Adventure",3.6,749000,,,,,,
106,Need for Speed: Heat,2019,"Hustle by day and risk it all at night in Need for Speed Heat, a white-knuckle street racer, where the lines of the law fade as the sun starts to set. By day, Palm City hosts the Speedhunter Showdown, a sanctioned competition where you earn Bank to customize and upgrade your high-performance cars. At night, ramp up the intensity in illicit street races that build your reputation, getting you access to bigger races and better parts. But stay ready – cops are waiting and not all of them play fair",Ghost Games,"Racing, Sport, Adventure",3.9,554000,,,,,,
107,NHL 23,2022,NHL 23 is an ice hockey simulation video game developed by EA Vancouver and published by EA Sports. It is the 32nd instalment in the NHL video game series,EA Vancouver,Sport,1.7,500000,,,,,,
108,Chernobylite,2021,"Chernobylite is a science-fiction survival horror experience, mixing the free exploration of its disturbing world with challenging combat, unique crafting, and non-linear storytelling. Play as a physicist, one of the Chernobyl Power Plant's ex-employees, and investigate the mysterious disappearance of your beloved. Try to survive and reveal the contamination zone's twisted secrets. Remember, the military presence is not your only concern. Get ready for a thrilling adventure of survival, conspiracy, horror, love, and obsession. One that will prove to you that it's not about how you face your fears, it's about how you survive them.",The Farm 51,"Shooter, Role-playing (RPG), Simulator, Adventure",3.9,154230,,,,,,
109,Cursed to Golf,2022,"Cursed to Golf is a golf-like adventure where every shot counts. Players are tasked with making it out of Golf Purgatory to become a Golfing Legend. With insane hazards, otherworldly power-ups and tons of replayability, will you make it back alive or will you forever be… Cursed to Golf!?",Chuhai Labs,"Puzzle, Sport, Adventure, Indie, Arcade",3.5,265000,,,,,,
110,MLB The Show 22,2022,"Experience faster, deeper and more intense moment-to-moment match action on the field, with a variety of game modes for all you rookie players and returning seasoned vets. Every pitch. Every hit. Every win. Make your mark and Own The Show in MLB The Show 22.",SIE San Diego Studio,"Simulator, Sport",3,1328000,,,,,,
111,Outland,2011,"An action platformer with a combat/interactivity system based on polarity, Outland focuses on a hero who can switch between light and dark forms, an ability he'll need to exploit in order to destroy monsters and avoid attacks. He'll take damage from opposite-colored bullets but will be impervious to those of the same polarity. He'll also only be able to control objects that match his polarity. By switching between forms, he will be able to solve platforming puzzles and crush enemies in this mysterious new land he finds himself in.",Housemarque,"Platform, Strategy, Adventure, Indie",4.2,141105,,,,,,
112,Are You Smarter Than a Fifth Grader?,2022,"Are You Smarter Than a Fifth Grader? is a party, multiplayer video game developed by Massive Miniteam and published by HandyGames. The game was released in 2022 for the PlayStation 5, Xbox X/S, Nintendo Switch, PC, PlayStation 4, and Xbox One. Based on the popular television show of the mid-2000s, Are You Smarter Than a Fifth Grader? tests players' knowledge in this massively charming couch co-op game with over 6800 fully voiced questions on 24 different subjects.",Massive Miniteam,"Party, Multiplayer",4.1,429000,,,,,,
113,The Quarry,2022,"It's late summer in the remote forests of upstate New York, and the teen counselors of Hackett's Quarry have the camp to themselves for one final night. That means no kids, no adults, and no rules. In this thrilling cinematic tale, you control the fates of all nine camp counselors as their party plans unravel into an unpredictable night of horror. With life-or-death decisions around every turn, the choices you make will determine how the story unfolds.",Supermassive Games,Adventure,3.9,591600,,,,,,
114,The Dark Pictures Anthology: House of Ashes,2021,"House of Ashes is the third game in the The Dark Pictures Anthology and a series of standalone, cinematic branching horror games where the decisions you make in the game determine the story and the outcome you receive. At the close of the Iraq War, Special Forces hunting for weapons of mass destruction unearth something far deadlier – a buried Sumerian temple containing a nest of unearthly creatures. To survive the night below, they must forge a brotherhood with their enemies from the world above.",Supermassive Games,Adventure,4.3,276000,,,,,,
115,Neo: The World Ends with You,2021,"Explore a stylized recreation of Shibuya, as you take on the role of Rindo to battle for survival and unravel the mysteries of the deadly “Reaper’s Game” in this new Action RPG and follow-up to the classic RPG hit ""The World Ends with You.""",Square Enix Creative Business Unit I,"Role-playing (RPG), Hack and slash/Beat 'em up",4,248000,,,,,,
116,Spelunky 2,2020,"Spelunky 2 is a platform game developed and published by Mossmouth. The game was released for PlayStation 4 and PC in 2020 and for Nintendo Switch in 2021. Sequel to Spelunky, the player assumes control of Ana, the daughter of the explorer from the first game, who must navigate through deadly caves filled with enemies and traps on the Moon in order to find her missing parents.",Mossmouth,Platform,4.6,265000,,,,,,
117,Orcs Must Die! 3,2020,"Orc Must Die! 3 ushers orc-slaying mayhem to a previously unimaginable scale. All new War Scenarios pit players and their friends against the largest orc armies ever assembled. Mountable War Machines give players the essential firepower to heave, stab, carbonize, and disarticulate the abominable intruders. Orcs Must Die! 3 is the long-awaited successor to the award-winning series.",Robot Entertainment,"Shooter, Puzzle, Strategy, Adventure, Indie",4,395000,,,,,,
118,Sniper Elite 5,2022,"The latest instalment in the award-winning series, Sniper Elite 5 offers unparalleled sniping, tactical third-person combat and an enhanced kill cam. Fight your way across the most immersive maps yet, with many real-world locations captured in stunning detail, and an improved traversal system that lets you explore more of them than ever before. France, 1944 – As part of a covert US Rangers operation to weaken the Atlantikwall fortifications along the coast of Brittany, elite marksman Karl Fairburne makes contact with the French Resistance. Soon they uncover a secret Nazi project that threatens to end the war before the Allies can even invade Europe: Operation Kraken.",Rebellion,"Fighting, Shooter, Simulator, Adventure",3.4,525000,,,,,,
119,Cult of the Lamb,2022,"Cult of the Lamb casts players in the role of a possessed lamb saved from annihilation by an ominous stranger, and must repay their debt by building a loyal following in his name. Start your own cult in a land of false prophets, venturing out into diverse and mysterious regions to build a loyal community of woodland worshippers and spread your Word to become the one true cult.",Massive Monster,"Role-playing (RPG), Simulator, Strategy, Hack and slash/Beat 'em up, Adventure",4.2,330000,,,,,,
120,JoJo's Bizarre Adventure: All Star Battle,2013,"Based on Hirohiko Araki's long-running manga series JoJo' s Bizarre Adventure, the game allows players to compete against each other using 40 characters taken from the first eight story arcs, as well as one guest character from another manga also created by Araki. The game was released in Japan on August 29, 2013, and was released internationally in late April 2014.",CyberConnect2,"Fighting, Arcade",4.6,606670,,,,,,
121,Shadow Warrior 3,2022,"Shadow Warrior 3 launches the offbeat first-person shooter series to the next level with a seamless blend of fast-paced gunplay, razor-shamelee combat, and a spectacular free-running movement system.",Flying Wild Hog,"Shooter, Role-playing (RPG), Adventure, Indie, Arcade",3.7,525000,,,,,,
122,Metro Redux,2014,"Metro 2033 is a 2010 first-person shooter survival horror video game developed by 4A Games and published by THQ. The story is based on Dmitry Glukhovsky's novel of the same name, where survivors of a nuclear war have taken refuge in the Metro tunnels of Moscow. Players control Artyom, a man who must save his home station from the dangers lurking within the Metro. In the game, players encounter human and mutant enemies, who can be killed with a variety of firearms. Players must also wear a gas mask to explore areas covered in fallout radiation, both underground and on the surface. ",,,4.3,140000,,,,,,
123,Ghostrunner,2020,"Ascend humanity’s last remaining shelter, a great tower-city. The tower is torn by violence, poverty and chaos. Conquer your enemies, discover the secrets of the superstructure and your own origin and obtain the power to challenge The Keymaster.",One More Level,"Shooter, Platform, Adventure",3.7,498000,,,,,,
124,Titanfall 2,2016,"Strap in and prepare for liftoff in , an adrenaline-fueled FPS that seamlessly blends frenetic gunplay with epic mech battles. Experience the game's gripping single-player campaign, where pilot Jack Cooper and his loyal Titan form an unbreakable bond against overwhelming odds. With its refined multiplayer modes and polished gameplay mechanics,  has cemented the series' place as a force to be reckoned with in the world of first-person shooters.",Respawn Entertainment,"Shooter, Adventure",4.8,468563,,,,,,
125,Grid Legends,2022,"What does it take to become a racing legend? Welcome to Grid Legends: a high-stakes driving experience that combines thrilling unpredictable motorsport, incredible race variety, and an immersive driving story that puts you at the heart of the action.",Codemasters,"Racing, Simulator, Sport",3.9,937283,,,,,,
126,WWE 2K22,2022,"WWE 2K returns with all the features you can handle in WWE 2K22, the twenty-sixth professional wrestling game in the WWE game franchise and the ninth game in the WWE 2K series! Get ripped out of the stands and hit with complete control of the WWE Universe. Throw down with the biggest and most realistic-looking WWE Superstars and Legends. Relive pivotal moments in Rey Mysterio's iconic career in 2K Showcase. Hitting this hard has never been so easy!",Visual Concepts,"Fighting, Simulator, Sport",4,765600,,,,,,
127,Cris Tales,2021,"Discover a unique combination of branching stories, innovative combat, and classic RPG gameplay in Cris Tales’ exciting and unforgettable exploration of how our actions echo through time. Join the newly awakened Time Mage, Crisbell, and her fantastical companions in a fantasy world facing a grim future. The powerful Time Empress and her forces threaten to bring about a cataclysm tearing apart Crystallis and the other four Kingdoms of the region.",SYCK,"Role-playing (RPG), Adventure, Indie",3.3,244000,,,,,,
128,Tribes of Midgard,2021,"The Giants are coming! Form a tribe with up to 10 players and grow your Village to face deadly spirits and gigantic brutes hel-bent on bringing on the end of the world in this game with a unique blend of action, survival, and roguelite elements.",Norsfell,"Fighting, Role-playing (RPG), Adventure, Indie",3.9,265000,,,,,,
129,Life Is Strange 2,2018,The long awaited sequel to the award winning Life is Strange returns with a new 5-part narrative adventure from DONTNOD Entertainment.,Feral Interactive,Adventure,4.1,410000,,,,,,
130,The Artful Escape,2021,"On the eve of his first performance, Francis Vendetti battles with the legacy of a dead folk legend and the cosmic wanderings of his own imagination. In this 2D adventure platformer, Francis, a teenage guitar prodigy, sets out on a psychedelic, multidimensional journey to inspire his stage persona.",Beethoven & Dinosaur,"Music, Platform, Adventure, Indie",4.7,265000,,,,,,
